"HIGHRISK","ID","NAME"
"false","11-0006376","QuickLink Company"
"false","53-0000892","Beans Company"
"false","45-0004470","Hostes Limited"
"false","38-0005417","Felics"
"false","85-0007708","Datastore Associates"
"false","87-0005976","Felics Company"
"false","93-0002628","Morsem Industries"
"false","51-0008715","QuickLink Associates"
"false","82-0001602","Gualas Ltd"
"false","24-0002938","Quicker"
"false","90-0004823","Linger Limited"
"false","13-0005158","QuickLink"
"false","26-0008227","Furba"
"false","23-0000369","Erntogra"
"false","92-0008906","Quicker Industries"
"false","01-0000732","Klein"
"false","36-0007315","Woods Inc."
"false","80-0005916","Terson LLC"
"false","01-0005242","Robutenia Associates"
"true","55-0003002","Interdem LLC"
"false","48-0004741","Furba"
"false","39-0005558","Nonos"
"false","26-0007772","Hostes Consulting"
"false","58-0007449","FlyHigh Consulting"
"false","34-0007462","Quicker Limited"
"false","73-0000254","Nonos"
"false","57-0004864","Datastore"
"false","52-0001034","Linger Inc."
"false","76-0008071","Gualas"
"false","24-0003440","MemorTech Industries"
"false","15-0003005","Morsem Industries"
"false","63-0003417","Nonos Inc."
"false","05-0008600","Gualas Company"
"false","06-0009765","FlyHigh Consulting"
"false","11-0007398","Terson"
"false","42-0000394","Klein"
"false","80-0006193","Vitae Industries"
"false","23-0008945","Terson Ltd"
"false","88-0006357","Klein"
"false","75-0004311","Terson Ltd"
"false","53-0006448","Buapel Industries"
"false","23-0008432","Quisuc"
"false","22-0008851","Datastore Industries"
"false","86-0006223","Furba Company"
"false","21-0009346","Alist"
"false","12-0002471","Warst"
"false","02-0003007","SuperMemo"
"false","64-0003168","Felics LLC"
"false","52-0004421","SuperMemo"
"false","84-0000621","Klein Consulting"
"false","02-0007280","Vitae Ltd"
"false","65-0004598","MemorTech"
"false","91-0009634","FlyHigh Industries"
"false","23-0006351","Yrsa"
"false","48-0007552","Datastore LLC"
"false","30-0007443","Porta"
"true","87-0008175","Yrsa LLC"
"false","48-0009265","Furba"
"false","75-0000495","Interdem Consulting"
"false","75-0005458","Morsem"
"false","05-0001022","Robutenia LLC"
"false","80-0001142","Furba Associates"
"false","20-0002457","Furba Consulting"
"false","11-0000693","Woods Limited"
"false","48-0007456","Alist"
"false","03-0001262","MemorTech"
"true","39-0004999","Quicker"
"false","34-0007757","Interdem Company"
"false","30-0001583","Klein"
"false","76-0000943","Hostes"
"false","53-0008616","Erntogra"
"false","45-0009998","SuperMemo"
"false","23-0008388","MemorTech"
"false","52-0001242","Terson"
"false","40-0004041","Erntogra Associates"
"false","71-0001909","Woods"
"false","15-0002056","Alist"
"false","23-0001463","FlyHigh"
"false","81-0006110","Buapel Inc."
"false","52-0001990","Felics Ltd"
"false","81-0004521","Nonos"
"false","93-0003238","MemorTech"
"false","92-0000812","Gualas"
"false","45-0008882","Quisuc Ltd"
"false","30-0008750","Datastore"
"true","72-0003445","Vitae LLC"
"false","99-0009488","FlyHigh LLC"
"false","24-0003796","Klein Consulting"
"false","78-0005990","SuperMemo"
"false","31-0000111","Beans"
"false","54-0003611","Datastore Consulting"
"true","34-0009132","Alist Limited"
"false","98-0009085","Interdem"
"false","66-0001820","Linger Consulting"
"false","36-0007378","Datastore"
"false","02-0000021","Hostes Inc."
"false","10-0009196","SuperMemo"
"false","33-0006618","Vitae Inc."
"false","34-0006093","SuperMemo"
"true","23-0004685","Nonos Industries"
"false","24-0002157","Woods"
"false","43-0000995","Yrsa"
"false","74-0009720","Buapel Industries"
"false","03-0005168","Yrsa"
"false","90-0000437","SuperMemo"
"false","93-0003587","Interdem Limited"
"false","98-0006518","Datastore Industries"
"false","59-0006985","Interdem Company"
"false","88-0008193","Felics LLC"
"false","50-0000685","Hostes Associates"
"false","04-0005397","Klein"
"false","63-0008192","Quicker Associates"
"false","03-0001737","Robutenia"
"false","26-0009516","QuickLink"
"false","45-0004472","Beans"
"true","57-0008867","Warst"
"false","22-0009971","Gualas Inc."
"false","44-0003715","Klein"
"false","46-0004285","Terson"
"false","81-0008841","Gualas"
"false","56-0006095","Woods"
"false","00-0006579","FlyHigh Associates"
"false","01-0005890","Gualas Ltd"
"false","88-0004173","Klein Limited"
"false","24-0002737","Woods Associates"
"false","85-0001294","Gualas Industries"
"false","00-0005711","Yrsa Inc."
"false","35-0006721","Buapel"
"false","39-0002150","Gualas"
"false","76-0000408","Felics"
"false","50-0003805","Vitae"
"false","43-0001131","Linger Inc."
"false","35-0001409","Alist"
"false","91-0006349","Erntogra Associates"
"true","46-0005023","Warst LLC"
"false","21-0005047","Interdem Ltd"
"false","46-0003505","MemorTech Consulting"
"false","63-0006403","Klein"
"false","93-0000861","Quisuc Industries"
"false","23-0004491","Morsem Company"
"false","66-0001182","Terson LLC"
"false","22-0006785","Yrsa"
"false","26-0008279","SuperMemo Limited"
"false","36-0007858","Adapt"
"false","95-0007462","Linger Inc."
"false","82-0007635","Robutenia"
"false","65-0006225","Alist"
"false","30-0004753","Klein"
"false","39-0009205","SuperMemo Industries"
"false","27-0007457","Quisuc"
"false","40-0000693","Linger"
"false","72-0008352","Quicker Inc."
"false","05-0001278","QuickLink Company"
"false","91-0005732","SuperMemo"
"false","31-0002447","Woods Consulting"
"false","21-0005551","Beans Associates"
"false","66-0004786","Yrsa Industries"
"false","92-0004432","Woods"
"false","52-0004550","Nonos Industries"
"false","52-0005625","Woods Consulting"
"false","42-0007083","MemorTech"
"false","60-0008726","Felics Ltd"
"false","05-0000364","Terson"
"false","67-0004486","Quisuc"
"false","67-0001192","Terson LLC"
"false","98-0004519","Interdem"
"false","27-0001484","QuickLink Associates"
"false","71-0003571","MemorTech Inc."
"false","25-0001945","Woods LLC"
"false","68-0004597","Interdem Inc."
"false","27-0003302","Terson Associates"
"false","01-0007914","SuperMemo Company"
"false","92-0007424","FlyHigh"
"false","91-0005195","Felics LLC"
"true","80-0003202","Erntogra Associates"
"false","35-0000200","Quicker"
